Event,Site,Date,UTCTime,White,Black,WhiteElo,BlackElo,Result
Rated Bullet game,https://lichess.org/pIF5DZNI,2024.02.27,15:46:06,ShekerMeker,waltalgg,2123,2165,0-1
Rated Bullet game,https://lichess.org/dHWivp0b,2024.02.27,15:44:00,waltalgg,bst1389,2171,2175,0-1
Rated Bullet game,https://lichess.org/NIBvlZyV,2024.02.27,15:43:48,waltalgg,DANTTASz,2177,2138,0-1
Rated Bullet game,https://lichess.org/s4CjcP2M,2024.02.27,15:41:40,Losrubio3,waltalgg,2183,2183,1-0
Rated Bullet game,https://lichess.org/vmCHwHYL,2024.02.27,15:39:39,Baal-Shem-Tov,waltalgg,2211,2177,0-1
Rated Bullet game,https://lichess.org/C0WTwICI,2024.02.27,15:37:24,waltalgg,sabervivir,2171,2146,1-0
Rated Bullet game,https://lichess.org/928HLstt,2024.02.27,15:34:52,kingragz,waltalgg,2176,2165,0-1
Rated Bullet game,https://lichess.org/ndL9rvVz,2024.02.27,15:32:03,Sergiogomezbarrero,waltalgg,2212,2170,1-0
Rated Bullet game,https://lichess.org/0Vh9gZX6,2024.02.27,15:30:07,waltalgg,Lakli,2176,2139,0-1
Rated Bullet game,https://lichess.org/SuRcXOqf,2024.02.27,15:27:59,waltalgg,Zacko1,2177,2162,1/2-1/2
Rated Bullet game,https://lichess.org/pw1bx5gr,2024.02.27,15:25:55,waltalgg,Chiazor,2182,2192,0-1
Rated Bullet game,https://lichess.org/ZOpMTu86,2024.02.27,15:24:03,tapcblade777,waltalgg,2186,2188,1-0
Rated Bullet game,https://lichess.org/oKnDBEFU,2024.02.26,20:35:43,ventu23,waltalgg,2260,2192,1-0
Rated Bullet game,https://lichess.org/JQ63lNsd,2024.02.26,20:33:38,waltalgg,tidulidudu,2187,2171,1-0
Rated Bullet game,https://lichess.org/HJs39UI0,2024.02.26,20:31:26,waltalgg,Riolobo5,2191,2265,0-1
Rated Bullet game,https://lichess.org/6F8i836U,2024.02.26,20:29:06,omare123,waltalgg,2220,2197,1-0
Rated Bullet game,https://lichess.org/Pv122u1U,2024.02.26,20:27:17,GiantPanda_de,waltalgg,2241,2202,1-0
Rated Bullet game,https://lichess.org/rgJIow58,2024.02.26,20:27:04,waltalgg,RussianGod,2196,2208,1-0
Rated Bullet game,https://lichess.org/5nqialGV,2024.02.26,20:24:57,montreal_myk,waltalgg,2132,2191,0-1
Rated Bullet game,https://lichess.org/vynrqNyN,2024.02.26,20:24:21,TonyNoris,waltalgg,2209,2185,0-1
Rated Bullet game,https://lichess.org/iH8UswVe,2024.02.26,20:22:16,waltalgg,dont_cry_plz,2189,2263,0-1
Rated Bullet game,https://lichess.org/fmhDGdPE,2024.02.26,20:20:04,MarioAA,waltalgg,2349,2193,1-0
Rated Bullet game,https://lichess.org/udwgbqvL,2024.02.26,20:18:01,waltalgg,makecashwithyou,2187,2191,1-0
Rated Bullet game,https://lichess.org/h5l1w9Xc,2024.02.26,20:17:19,waltalgg,penguingum22,2193,2187,0-1
HyperBullet Increment,https://lichess.org/TMD8s9sY,2024.02.25,16:46:29,Woollkan345275,waltalgg,2104,2200,1-0
HyperBullet Increment,https://lichess.org/NTEZry2R,2024.02.25,16:43:42,waltalgg,guigafmoraes,2207,2092,0-1
HyperBullet Increment,https://lichess.org/TUiTsj7a,2024.02.25,16:40:51,waltalgg,Mehri10lbp,2204,2071,1-0
HyperBullet Increment,https://lichess.org/GtvBjLZb,2024.02.25,16:38:41,MasterJYR,waltalgg,2255,2209,1-0
HyperBullet Increment,https://lichess.org/wM4ZzB5z,2024.02.25,16:36:30,waltalgg,moong5,2207,1915,1-0
HyperBullet Increment,https://lichess.org/rc4mncFD,2024.02.25,16:34:04,Fifticenta,waltalgg,2148,2213,1-0
HyperBullet Increment,https://lichess.org/c0FgsGNP,2024.02.25,16:31:35,waltalgg,bakterienquaeler,2210,2039,1-0
HyperBullet Increment,https://lichess.org/Wt82RQcL,2024.02.25,16:30:00,mihail72253,waltalgg,1759,2209,0-1
Rated Blitz game,https://lichess.org/ysANhxfe,2024.02.25,15:21:57,Sophia_v_b,waltalgg,1903,1896,1-0
Rated Bullet game,https://lichess.org/Az0v6n6x,2024.02.24,19:48:36,waltalgg,uGabadiya,2215,2251,0-1
Rated Bullet game,https://lichess.org/SClzT4Vq,2024.02.24,19:45:50,M1nRNeo,waltalgg,2367,2218,1-0
Rated Bullet game,https://lichess.org/WvS8F7OB,2024.02.24,19:44:01,waltalgg,Zaqzouq2018,2214,2126,1-0
Rated Bullet game,https://lichess.org/iLPVI0RW,2024.02.24,19:40:04,waltalgg,DontBeScared007,2219,2232,0-1
Rated Bullet game,https://lichess.org/SQlGfbzH,2024.02.24,19:37:30,rocaraul,waltalgg,2206,2213,0-1
Rated Bullet game,https://lichess.org/y57sV5rj,2024.02.24,19:36:29,BuildYourDreams,waltalgg,2194,2208,0-1
Rated Bullet game,https://lichess.org/FAZow8Bv,2024.02.24,19:34:15,waltalgg,Kaspemi,2202,2214,1-0
Rated Bullet game,https://lichess.org/9cG7Khun,2024.02.24,19:32:42,PawnMarchDestroyer,waltalgg,2226,2207,1-0
Rated Bullet game,https://lichess.org/glrGEyIu,2024.02.24,19:30:31,waltalgg,bbc100,2201,2243,1-0
Rated Blitz game,https://lichess.org/vpbfaZDR,2024.02.24,10:40:08,waltalgg,RecovGroyS,1901,1934,0-1
Bullet,https://lichess.org/mUjnv4Y1,2024.02.23,19:12:51,Ivan159,waltalgg,2019,2209,1-0
Bullet,https://lichess.org/rQQzzX1L,2024.02.23,19:10:19,Nicat_Gedebeyli_021,waltalgg,1265,2209,0-1
Bullet,https://lichess.org/rCssk32V,2024.02.23,19:07:35,waltalgg,granddebutant,2212,2384,0-1
Bullet,https://lichess.org/Ef0tm5ku,2024.02.23,19:05:09,waltalgg,Hasan_Akram_2010,2209,2027,1-0
Bullet,https://lichess.org/V1mehZWu,2024.02.23,19:02:34,carped65,waltalgg,1754,2209,0-1
Rated Bullet game,https://lichess.org/iaEKCynT,2024.02.23,18:57:17,TheLuckyMaster75,waltalgg,2187,2203,0-1
Rated Bullet game,https://lichess.org/OXTNif1v,2024.02.23,18:56:07,drive8x8,waltalgg,2281,2208,1-0
Rated Bullet game,https://lichess.org/TN5It3TL,2024.02.23,18:53:48,waltalgg,kostovvv,2203,2147,1-0
Rated Bullet game,https://lichess.org/mX6x8JBl,2024.02.23,18:47:21,saterike,waltalgg,2198,2197,0-1
Rated Bullet game,https://lichess.org/XA2vQCDf,2024.02.23,18:45:04,waltalgg,drive8x8,2190,2284,1-0
Rated Bullet game,https://lichess.org/IlRuowAp,2024.02.23,18:41:54,DR3185,waltalgg,2167,2184,0-1
Rated Bullet game,https://lichess.org/XsuaYbxH,2024.02.23,18:39:41,waltalgg,AliDenizCaglar,2191,2099,0-1
Rated Bullet game,https://lichess.org/aCQvv6Fn,2024.02.23,18:37:17,waltalgg,pkprem11,2185,2191,1-0
Rated Bullet game,https://lichess.org/Iak0W1Pj,2024.02.23,18:35:18,davidkumana,waltalgg,2159,2192,1-0
Rated Bullet game,https://lichess.org/tzQ1Kd3s,2024.02.23,18:34:22,waltalgg,Prinsdal,2185,2222,1-0
Rated Bullet game,https://lichess.org/jkQcPhNY,2024.02.23,18:32:16,serge1968-1980,waltalgg,2099,2181,0-1
Daily HyperBullet Arena,https://lichess.org/twQfZh3V,2024.02.22,20:22:09,waltalgg,Raimondddd,2187,2137,0-1
Daily HyperBullet Arena,https://lichess.org/eH3KEaMP,2024.02.22,20:21:12,Tim_ua,waltalgg,2461,2189,1-0
Daily HyperBullet Arena,https://lichess.org/bIHbzBX3,2024.02.22,20:20:21,waltalgg,Kingscrusher-YouTube,2190,2559,0-1
Daily HyperBullet Arena,https://lichess.org/eZud0NuX,2024.02.22,20:19:40,Tim_ua,waltalgg,2462,2193,1-0
Daily HyperBullet Arena,https://lichess.org/1sBxZmmv,2024.02.22,20:18:37,waltalgg,Fuegoeterno,2185,2282,1-0
Daily HyperBullet Arena,https://lichess.org/MkB4MH1C,2024.02.22,20:17:29,SeNiKom,waltalgg,2183,2179,0-1
Daily HyperBullet Arena,https://lichess.org/3LGicfjx,2024.02.22,20:16:00,MiltonOliver,waltalgg,2149,2174,0-1
Daily HyperBullet Arena,https://lichess.org/1U6nsUnG,2024.02.22,20:10:37,waltalgg,ayal1979,2173,1821,1-0
Daily HyperBullet Arena,https://lichess.org/kmNnnlgy,2024.02.22,20:09:20,waltalgg,Dima_100617,2171,1815,1-0
Daily HyperBullet Arena,https://lichess.org/byvMzo0D,2024.02.22,20:07:45,kayaKayabas,waltalgg,2159,2166,0-1
Daily HyperBullet Arena,https://lichess.org/IZW4wFGq,2024.02.22,20:06:50,waltalgg,SrDjtorresXd,2165,1449,1-0
Daily HyperBullet Arena,https://lichess.org/dVntA423,2024.02.22,20:05:42,xzor,waltalgg,1622,2165,0-1
Daily HyperBullet Arena,https://lichess.org/bTJFPgAH,2024.02.22,20:04:19,waltalgg,amine_chess,2168,1918,1/2-1/2
Daily HyperBullet Arena,https://lichess.org/S42DmAyE,2024.02.22,20:03:26,waltalgg,Felix1000,2171,2357,0-1
Daily HyperBullet Arena,https://lichess.org/XYRhjx5o,2024.02.22,20:02:23,jtgslatt,waltalgg,2107,2172,1/2-1/2
Daily HyperBullet Arena,https://lichess.org/XsqOb5FL,2024.02.22,20:01:35,fecherman,waltalgg,2402,2175,1-0
Rated Bullet game,https://lichess.org/WxpZpqVh,2024.02.22,19:52:44,waltalgg,karim341,2181,2137,0-1
Rated Bullet game,https://lichess.org/B6CpITUV,2024.02.22,19:50:26,Suspense0,waltalgg,2213,2175,0-1
Rated Bullet game,https://lichess.org/a9ITijyb,2024.02.22,19:49:27,waltalgg,stonedreligion,2170,2126,1-0
Rated Bullet game,https://lichess.org/oz1xvHIM,2024.02.22,19:48:19,ale198333,waltalgg,2185,2175,1-0
Rated Bullet game,https://lichess.org/YWtzK6W0,2024.02.22,19:46:20,waltalgg,benbugarin06,2180,2235,0-1
Rated Bullet game,https://lichess.org/Iv3g6Na6,2024.02.22,19:44:03,khashaiarsha,waltalgg,2095,2182,1/2-1/2
Rated Bullet game,https://lichess.org/a1XjXlL7,2024.02.22,19:41:36,Madzoy2,waltalgg,2257,2174,0-1
Rated Bullet game,https://lichess.org/EVAOD0Ln,2024.02.22,19:39:38,waltalgg,brontes_24,2174,2217,1/2-1/2
Rated Bullet game,https://lichess.org/BXNbKicj,2024.02.22,19:37:32,waltalgg,Maxster31,2168,2168,1-0
Rated Blitz game,https://lichess.org/eWrHGvqT,2024.02.22,18:46:07,svanit7873,waltalgg,1883,1908,1-0
Weekly King of the Hill Arena,https://lichess.org/KUtteSsv,2024.02.21,19:01:41,waltalgg,Flamenguista,1902,1985,0-1
Rated Bullet game,https://lichess.org/TuaYz318,2024.02.21,18:51:45,MatOlmaAma,waltalgg,2166,2168,1/2-1/2
Rated Bullet game,https://lichess.org/3rdTDHAT,2024.02.21,18:50:09,waltalgg,clgut,2174,2125,0-1
Rated Bullet game,https://lichess.org/CqrrrOe1,2024.02.21,18:47:53,waltalgg,ELDragon111,2169,2139,1-0
Rated Bullet game,https://lichess.org/SkgdYLzj,2024.02.21,18:45:57,iambad2003,waltalgg,2106,2164,0-1
Rated Bullet game,https://lichess.org/f8ccTx5r,2024.02.21,18:43:39,waltalgg,Androkakoisvili,2159,2133,1-0
Rated Bullet game,https://lichess.org/0Ww6cj9U,2024.02.21,18:16:49,Sdr2007adr2011,waltalgg,2172,2159,1/2-1/2
Rated Bullet game,https://lichess.org/kiA8OSMR,2024.02.21,18:15:17,ishotya,waltalgg,2076,2154,0-1
Rated Bullet game,https://lichess.org/kVw3m69K,2024.02.21,18:13:03,waltalgg,ferid2002,2149,2144,1-0
Rated Bullet game,https://lichess.org/cJBe8Cvf,2024.02.21,18:10:48,waltalgg,Yorwaxed,2143,2119,1-0
Rated Bullet game,https://lichess.org/3TWshnBQ,2024.02.21,18:08:22,B52-Omega,waltalgg,2142,2149,1-0
Rated Bullet game,https://lichess.org/nYR75YO5,2024.02.21,18:06:22,Demchik75,waltalgg,2101,2156,1-0
Rated Bullet game,https://lichess.org/38VXzR58,2024.02.21,18:04:19,waltalgg,Crazychessy,2149,2190,1-0
