Event,Site,Date,Round,White,Black,Result
Rated Bullet game,https://lichess.org/6jebz78W,2024.03.01,?,Jgmarsh,waltalgg,1-0
Rated Bullet game,https://lichess.org/05IX99u7,2024.03.01,?,waltalgg,khaled-bch-DZ,0-1
Rated Bullet game,https://lichess.org/vavsAeSW,2024.03.01,?,nakah-twitch,waltalgg,0-1
Rated Bullet game,https://lichess.org/AI4Ks4HT,2024.03.01,?,waltalgg,Trubbercrue,1-0
Rated Bullet game,https://lichess.org/mZROa7q5,2024.03.01,?,Morphy27,waltalgg,0-1
Rated Bullet game,https://lichess.org/iPzl0tnt,2024.03.01,?,waltalgg,Budai1986,1-0
Rated Bullet game,https://lichess.org/wRamqHtp,2024.03.01,?,waltalgg,Reza2850,0-1
Rated Bullet game,https://lichess.org/KQADQe0o,2024.03.01,?,melinas,waltalgg,0-1
Rated Bullet game,https://lichess.org/RBZNggT7,2024.03.01,?,minddestroyer23,waltalgg,0-1
Hourly SuperBlitz Arena,https://lichess.org/3ssNwidi,2024.03.01,?,waltalgg,SERGUEYT,0-1
Hourly SuperBlitz Arena,https://lichess.org/H82ix2pr,2024.03.01,?,deba2021ghosh,waltalgg,0-1
Hourly SuperBlitz Arena,https://lichess.org/L5eXvrv6,2024.03.01,?,waltalgg,danielmoraga,0-1
Hourly SuperBlitz Arena,https://lichess.org/RsoUx5gS,2024.03.01,?,SantaHell,waltalgg,0-1
Hourly SuperBlitz Arena,https://lichess.org/wyK83PqM,2024.03.01,?,waltalgg,bulkametatel,1-0
Rated Blitz game,https://lichess.org/dm9x4N1s,2024.03.01,?,waltalgg,cuba0102,1-0
Rated Blitz game,https://lichess.org/KEcDvk3F,2024.03.01,?,waltalgg,AliDenizCaglar,1-0
≤2000 SuperBlitz Arena,https://lichess.org/93oWMtH1,2024.03.01,?,waltalgg,Lendario10,0-1
≤2000 SuperBlitz Arena,https://lichess.org/PKXG0kVZ,2024.03.01,?,kalad115,waltalgg,0-1
≤2000 SuperBlitz Arena,https://lichess.org/NRD8rtaK,2024.03.01,?,waltalgg,Advi06,1-0
≤2000 SuperBlitz Arena,https://lichess.org/NIkIH3VR,2024.03.01,?,waltalgg,XxTheSkywalkerxX,1-0
Rated Bullet game,https://lichess.org/rArPm7r0,2024.02.29,?,authenticboredom,waltalgg,0-1
Rated Bullet game,https://lichess.org/htrgyS6A,2024.02.29,?,mustfaa50,waltalgg,1-0
Hourly SuperBlitz Arena,https://lichess.org/ZwtkjL6j,2024.02.29,?,Gmslayer64,waltalgg,0-1
Hourly SuperBlitz Arena,https://lichess.org/REozfQtn,2024.02.29,?,waltalgg,nik131914,1-0
Hourly SuperBlitz Arena,https://lichess.org/7gp4z4lk,2024.02.29,?,Enassaraya,waltalgg,0-1
Rated Blitz game,https://lichess.org/tSJbUeCR,2024.02.29,?,waltalgg,erlingds,1-0
Rated Blitz game,https://lichess.org/2WKGCeqm,2024.02.29,?,PetitPanda,waltalgg,0-1
Rated Blitz game,https://lichess.org/8Z8D8qgq,2024.02.29,?,waltalgg,szachistaibrydzysta,1-0
Rated Blitz game,https://lichess.org/ENhMzidX,2024.02.29,?,szachistaibrydzysta,waltalgg,0-1
Rated Blitz game,https://lichess.org/Ndf0AG57,2024.02.29,?,waltalgg,Wooooojetk,1-0
Rated Blitz game,https://lichess.org/YM8yQyHq,2024.02.29,?,waltalgg,omarsh4wky,1/2-1/2
Rated Blitz game,https://lichess.org/DWYkpCIR,2024.02.29,?,waltalgg,josemanos,0-1
Rated Blitz game,https://lichess.org/jtoVmBFi,2024.02.29,?,Mik_oo,waltalgg,0-1
Rated Bullet game,https://lichess.org/Wyhn8TEZ,2024.02.29,?,Ochocuentos,waltalgg,0-1
Casual Blitz game,https://lichess.org/k8O8YQRw,2024.02.29,?,Oliverw-w,waltalgg,0-1
Casual Blitz game,https://lichess.org/ZsbeaQQr,2024.02.29,?,waltalgg,Oliverw-w,1-0
Rated Bullet game,https://lichess.org/Y8tn1OeP,2024.02.29,?,waltalgg,Perform,0-1
Rated Bullet game,https://lichess.org/avbCZGvw,2024.02.29,?,waltalgg,gansius,0-1
Rated Bullet game,https://lichess.org/FaXhM5RH,2024.02.29,?,waltalgg,EmrushAsllani,1-0
Rated Bullet game,https://lichess.org/8cFPfNPF,2024.02.29,?,NetFishing,waltalgg,0-1
Rated Bullet game,https://lichess.org/DS7w0nFd,2024.02.29,?,Magnus4mo,waltalgg,0-1
Rated Bullet game,https://lichess.org/fnmOdU0a,2024.02.29,?,waltalgg,NetFishing,1/2-1/2
Rated Bullet game,https://lichess.org/lFZuQZqk,2024.02.29,?,isaac990,waltalgg,0-1
Rated Bullet game,https://lichess.org/zEtXD8ys,2024.02.29,?,Szachmat90,waltalgg,1-0
Rated Bullet game,https://lichess.org/q0nluvVI,2024.02.29,?,waltalgg,Alois19000,0-1
Rated Bullet game,https://lichess.org/tConVAF4,2024.02.29,?,Monamix,waltalgg,0-1
Rated Bullet game,https://lichess.org/7qIf5JDe,2024.02.29,?,waltalgg,Quoc-Anh,1-0
Rated Bullet game,https://lichess.org/Ly0rX5g7,2024.02.29,?,waltalgg,konepelaaja,1-0
Rated Bullet game,https://lichess.org/sC8fjJUt,2024.02.29,?,Pu146,waltalgg,1-0
Rated Blitz game,https://lichess.org/KWPEyjrN,2024.02.29,?,molayikh,waltalgg,1-0
Rated Blitz game,https://lichess.org/vKsOEaGN,2024.02.29,?,waltalgg,SapoAzul,0-1
Rated Blitz game,https://lichess.org/W6OA6bnb,2024.02.28,?,La-7fleur237,waltalgg,1-0
Rated Blitz game,https://lichess.org/lGQ0eKmH,2024.02.28,?,waltalgg,La-7fleur237,1-0
Rated Blitz game,https://lichess.org/DUoXGOA3,2024.02.28,?,Reinier24,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/2qHGWCfC,2024.02.28,?,waltalgg,Samvel0904,0-1
Daily HyperBullet Arena,https://lichess.org/sxvd0zUC,2024.02.28,?,kasparov0810,waltalgg,1/2-1/2
Daily HyperBullet Arena,https://lichess.org/k09vlp3Z,2024.02.28,?,waltalgg,Aut0mat0n,1-0
Daily HyperBullet Arena,https://lichess.org/tHtczsMS,2024.02.28,?,waltalgg,MaRd_77,1-0
Daily HyperBullet Arena,https://lichess.org/g9fBZ4Cu,2024.02.28,?,chess_in_bus,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/siIWcs5g,2024.02.28,?,waltalgg,Kasparov_97,0-1
Daily HyperBullet Arena,https://lichess.org/PLUaIgk9,2024.02.28,?,waltalgg,Rafael10ricardo,1-0
Daily HyperBullet Arena,https://lichess.org/8vBx9xyd,2024.02.28,?,Aut0mat0n,waltalgg,1-0
Rated Bullet game,https://lichess.org/ECnDMRPG,2024.02.28,?,waltalgg,j-vgt,1/2-1/2
Rated Bullet game,https://lichess.org/76JLZ6cw,2024.02.28,?,cherilopez,waltalgg,1-0
Rated Bullet game,https://lichess.org/ZV9P8gFP,2024.02.28,?,ebeldosik532,waltalgg,0-1
Rated Bullet game,https://lichess.org/IMvCsJjl,2024.02.28,?,waltalgg,Le_bhai_hara_le,0-1
Rated Blitz game,https://lichess.org/4c5sVhXc,2024.02.28,?,waltalgg,mahla1370,0-1
Rated Blitz game,https://lichess.org/JLYGU29Q,2024.02.27,?,Fir3F3ath3rs,waltalgg,0-1
Rated Bullet game,https://lichess.org/TyAfj3cX,2024.02.27,?,waltalgg,Scorpion73,0-1
Rated Bullet game,https://lichess.org/pIF5DZNI,2024.02.27,?,ShekerMeker,waltalgg,0-1
Rated Bullet game,https://lichess.org/dHWivp0b,2024.02.27,?,waltalgg,bst1389,0-1
Rated Bullet game,https://lichess.org/NIBvlZyV,2024.02.27,?,waltalgg,DANTTASz,0-1
Rated Bullet game,https://lichess.org/s4CjcP2M,2024.02.27,?,Losrubio3,waltalgg,1-0
Rated Bullet game,https://lichess.org/vmCHwHYL,2024.02.27,?,Baal-Shem-Tov,waltalgg,0-1
Rated Bullet game,https://lichess.org/C0WTwICI,2024.02.27,?,waltalgg,sabervivir,1-0
Rated Bullet game,https://lichess.org/928HLstt,2024.02.27,?,kingragz,waltalgg,0-1
Rated Bullet game,https://lichess.org/ndL9rvVz,2024.02.27,?,Sergiogomezbarrero,waltalgg,1-0
Rated Bullet game,https://lichess.org/0Vh9gZX6,2024.02.27,?,waltalgg,Lakli,0-1
Rated Bullet game,https://lichess.org/SuRcXOqf,2024.02.27,?,waltalgg,Zacko1,1/2-1/2
Rated Bullet game,https://lichess.org/pw1bx5gr,2024.02.27,?,waltalgg,Chiazor,0-1
Rated Bullet game,https://lichess.org/ZOpMTu86,2024.02.27,?,tapcblade777,waltalgg,1-0
Rated Bullet game,https://lichess.org/oKnDBEFU,2024.02.26,?,ventu23,waltalgg,1-0
Rated Bullet game,https://lichess.org/JQ63lNsd,2024.02.26,?,waltalgg,tidulidudu,1-0
Rated Bullet game,https://lichess.org/HJs39UI0,2024.02.26,?,waltalgg,Riolobo5,0-1
Rated Bullet game,https://lichess.org/6F8i836U,2024.02.26,?,omare123,waltalgg,1-0
Rated Bullet game,https://lichess.org/Pv122u1U,2024.02.26,?,GiantPanda_de,waltalgg,1-0
Rated Bullet game,https://lichess.org/rgJIow58,2024.02.26,?,waltalgg,RussianGod,1-0
Rated Bullet game,https://lichess.org/5nqialGV,2024.02.26,?,montreal_myk,waltalgg,0-1
Rated Bullet game,https://lichess.org/vynrqNyN,2024.02.26,?,TonyNoris,waltalgg,0-1
Rated Bullet game,https://lichess.org/iH8UswVe,2024.02.26,?,waltalgg,dont_cry_plz,0-1
Rated Bullet game,https://lichess.org/fmhDGdPE,2024.02.26,?,MarioAA,waltalgg,1-0
Rated Bullet game,https://lichess.org/udwgbqvL,2024.02.26,?,waltalgg,makecashwithyou,1-0
Rated Bullet game,https://lichess.org/h5l1w9Xc,2024.02.26,?,waltalgg,penguingum22,0-1
HyperBullet Increment,https://lichess.org/TMD8s9sY,2024.02.25,?,Woollkan345275,waltalgg,1-0
HyperBullet Increment,https://lichess.org/NTEZry2R,2024.02.25,?,waltalgg,guigafmoraes,0-1
HyperBullet Increment,https://lichess.org/TUiTsj7a,2024.02.25,?,waltalgg,Mehri10lbp,1-0
HyperBullet Increment,https://lichess.org/GtvBjLZb,2024.02.25,?,MasterJYR,waltalgg,1-0
HyperBullet Increment,https://lichess.org/wM4ZzB5z,2024.02.25,?,waltalgg,moong5,1-0
HyperBullet Increment,https://lichess.org/rc4mncFD,2024.02.25,?,Fifticenta,waltalgg,1-0
HyperBullet Increment,https://lichess.org/c0FgsGNP,2024.02.25,?,waltalgg,bakterienquaeler,1-0
HyperBullet Increment,https://lichess.org/Wt82RQcL,2024.02.25,?,mihail72253,waltalgg,0-1
Rated Blitz game,https://lichess.org/ysANhxfe,2024.02.25,?,Sophia_v_b,waltalgg,1-0
Rated Bullet game,https://lichess.org/Az0v6n6x,2024.02.24,?,waltalgg,uGabadiya,0-1
Rated Bullet game,https://lichess.org/SClzT4Vq,2024.02.24,?,M1nRNeo,waltalgg,1-0
Rated Bullet game,https://lichess.org/WvS8F7OB,2024.02.24,?,waltalgg,Zaqzouq2018,1-0
Rated Bullet game,https://lichess.org/iLPVI0RW,2024.02.24,?,waltalgg,DontBeScared007,0-1
Rated Bullet game,https://lichess.org/SQlGfbzH,2024.02.24,?,rocaraul,waltalgg,0-1
Rated Bullet game,https://lichess.org/y57sV5rj,2024.02.24,?,BuildYourDreams,waltalgg,0-1
Rated Bullet game,https://lichess.org/FAZow8Bv,2024.02.24,?,waltalgg,Kaspemi,1-0
Rated Bullet game,https://lichess.org/9cG7Khun,2024.02.24,?,PawnMarchDestroyer,waltalgg,1-0
Rated Bullet game,https://lichess.org/glrGEyIu,2024.02.24,?,waltalgg,bbc100,1-0
Rated Blitz game,https://lichess.org/vpbfaZDR,2024.02.24,?,waltalgg,RecovGroyS,0-1
Bullet,https://lichess.org/mUjnv4Y1,2024.02.23,?,Ivan159,waltalgg,1-0
Bullet,https://lichess.org/rQQzzX1L,2024.02.23,?,Nicat_Gedebeyli_021,waltalgg,0-1
Bullet,https://lichess.org/rCssk32V,2024.02.23,?,waltalgg,granddebutant,0-1
Bullet,https://lichess.org/Ef0tm5ku,2024.02.23,?,waltalgg,Hasan_Akram_2010,1-0
Bullet,https://lichess.org/V1mehZWu,2024.02.23,?,carped65,waltalgg,0-1
Rated Bullet game,https://lichess.org/iaEKCynT,2024.02.23,?,TheLuckyMaster75,waltalgg,0-1
Rated Bullet game,https://lichess.org/OXTNif1v,2024.02.23,?,drive8x8,waltalgg,1-0
Rated Bullet game,https://lichess.org/TN5It3TL,2024.02.23,?,waltalgg,kostovvv,1-0
Rated Bullet game,https://lichess.org/mX6x8JBl,2024.02.23,?,saterike,waltalgg,0-1
Rated Bullet game,https://lichess.org/XA2vQCDf,2024.02.23,?,waltalgg,drive8x8,1-0
Rated Bullet game,https://lichess.org/IlRuowAp,2024.02.23,?,DR3185,waltalgg,0-1
Rated Bullet game,https://lichess.org/XsuaYbxH,2024.02.23,?,waltalgg,AliDenizCaglar,0-1
Rated Bullet game,https://lichess.org/aCQvv6Fn,2024.02.23,?,waltalgg,pkprem11,1-0
Rated Bullet game,https://lichess.org/Iak0W1Pj,2024.02.23,?,davidkumana,waltalgg,1-0
Rated Bullet game,https://lichess.org/tzQ1Kd3s,2024.02.23,?,waltalgg,Prinsdal,1-0
Rated Bullet game,https://lichess.org/jkQcPhNY,2024.02.23,?,serge1968-1980,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/twQfZh3V,2024.02.22,?,waltalgg,Raimondddd,0-1
Daily HyperBullet Arena,https://lichess.org/eH3KEaMP,2024.02.22,?,Tim_ua,waltalgg,1-0
Daily HyperBullet Arena,https://lichess.org/bIHbzBX3,2024.02.22,?,waltalgg,Kingscrusher-YouTube,0-1
Daily HyperBullet Arena,https://lichess.org/eZud0NuX,2024.02.22,?,Tim_ua,waltalgg,1-0
Daily HyperBullet Arena,https://lichess.org/1sBxZmmv,2024.02.22,?,waltalgg,Fuegoeterno,1-0
Daily HyperBullet Arena,https://lichess.org/MkB4MH1C,2024.02.22,?,SeNiKom,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/3LGicfjx,2024.02.22,?,MiltonOliver,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/1U6nsUnG,2024.02.22,?,waltalgg,ayal1979,1-0
Daily HyperBullet Arena,https://lichess.org/kmNnnlgy,2024.02.22,?,waltalgg,Dima_100617,1-0
Daily HyperBullet Arena,https://lichess.org/byvMzo0D,2024.02.22,?,kayaKayabas,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/IZW4wFGq,2024.02.22,?,waltalgg,SrDjtorresXd,1-0
Daily HyperBullet Arena,https://lichess.org/dVntA423,2024.02.22,?,xzor,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/bTJFPgAH,2024.02.22,?,waltalgg,amine_chess,1/2-1/2
Daily HyperBullet Arena,https://lichess.org/S42DmAyE,2024.02.22,?,waltalgg,Felix1000,0-1
Daily HyperBullet Arena,https://lichess.org/XYRhjx5o,2024.02.22,?,jtgslatt,waltalgg,1/2-1/2
Daily HyperBullet Arena,https://lichess.org/XsqOb5FL,2024.02.22,?,fecherman,waltalgg,1-0
Rated Bullet game,https://lichess.org/WxpZpqVh,2024.02.22,?,waltalgg,karim341,0-1
Rated Bullet game,https://lichess.org/B6CpITUV,2024.02.22,?,Suspense0,waltalgg,0-1
Rated Bullet game,https://lichess.org/a9ITijyb,2024.02.22,?,waltalgg,stonedreligion,1-0
Rated Bullet game,https://lichess.org/oz1xvHIM,2024.02.22,?,ale198333,waltalgg,1-0
Rated Bullet game,https://lichess.org/YWtzK6W0,2024.02.22,?,waltalgg,benbugarin06,0-1
Rated Bullet game,https://lichess.org/Iv3g6Na6,2024.02.22,?,khashaiarsha,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/a1XjXlL7,2024.02.22,?,Madzoy2,waltalgg,0-1
Rated Bullet game,https://lichess.org/EVAOD0Ln,2024.02.22,?,waltalgg,brontes_24,1/2-1/2
Rated Bullet game,https://lichess.org/BXNbKicj,2024.02.22,?,waltalgg,Maxster31,1-0
Rated Blitz game,https://lichess.org/eWrHGvqT,2024.02.22,?,svanit7873,waltalgg,1-0
Weekly King of the Hill Arena,https://lichess.org/KUtteSsv,2024.02.21,?,waltalgg,Flamenguista,0-1
Rated Bullet game,https://lichess.org/TuaYz318,2024.02.21,?,MatOlmaAma,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/3rdTDHAT,2024.02.21,?,waltalgg,clgut,0-1
Rated Bullet game,https://lichess.org/CqrrrOe1,2024.02.21,?,waltalgg,ELDragon111,1-0
Rated Bullet game,https://lichess.org/SkgdYLzj,2024.02.21,?,iambad2003,waltalgg,0-1
Rated Bullet game,https://lichess.org/f8ccTx5r,2024.02.21,?,waltalgg,Androkakoisvili,1-0
Rated Bullet game,https://lichess.org/0Ww6cj9U,2024.02.21,?,Sdr2007adr2011,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/kiA8OSMR,2024.02.21,?,ishotya,waltalgg,0-1
Rated Bullet game,https://lichess.org/kVw3m69K,2024.02.21,?,waltalgg,ferid2002,1-0
Rated Bullet game,https://lichess.org/cJBe8Cvf,2024.02.21,?,waltalgg,Yorwaxed,1-0
Rated Bullet game,https://lichess.org/3TWshnBQ,2024.02.21,?,B52-Omega,waltalgg,1-0
Rated Bullet game,https://lichess.org/nYR75YO5,2024.02.21,?,Demchik75,waltalgg,1-0
Rated Bullet game,https://lichess.org/38VXzR58,2024.02.21,?,waltalgg,Crazychessy,1-0
Rated Bullet game,https://lichess.org/YOolmN4S,2024.02.21,?,waltalgg,m_olczak,1-0
Rated Bullet game,https://lichess.org/uAqsOA6w,2024.02.21,?,plk-82,waltalgg,0-1
Rated Bullet game,https://lichess.org/7Itt3I4u,2024.02.21,?,Fran_Chandler,waltalgg,0-1
Rated Blitz game,https://lichess.org/PZKVrRxx,2024.02.21,?,waltalgg,DEAN1956PORTSAID,0-1
Rated Bullet game,https://lichess.org/xWaN1lSY,2024.02.21,?,waltalgg,NevArt,0-1
Rated Bullet game,https://lichess.org/zoZA0Zy0,2024.02.21,?,Liberty13,waltalgg,0-1
Rated Bullet game,https://lichess.org/DQmHn91w,2024.02.21,?,waltalgg,sajjaddarban_mashhad,1-0
Rated Bullet game,https://lichess.org/uwD3RzqL,2024.02.21,?,waltalgg,gRyphY-Chess,1-0
Daily UltraBullet Arena,https://lichess.org/rPT2dR6C,2024.02.20,?,chessnh,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/yNmHWalt,2024.02.20,?,waltalgg,Korkulu_Korkusuz,0-1
Daily UltraBullet Arena,https://lichess.org/nsgit9Zd,2024.02.20,?,GNthenoob,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/HhLybEWg,2024.02.20,?,MemoryReboot,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/F84Lev47,2024.02.20,?,waltalgg,Su_PrA_G6000,0-1
Daily UltraBullet Arena,https://lichess.org/TLJdouNb,2024.02.20,?,Gancius80,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/UJkZO0Bo,2024.02.20,?,waltalgg,NostalgicCritic2004,1-0
HyperBullet,https://lichess.org/TzbIUJEp,2024.02.20,?,waltalgg,AlperenAcikmese,1-0
HyperBullet,https://lichess.org/oALaY8rf,2024.02.20,?,waltalgg,Falcon42,0-1
HyperBullet,https://lichess.org/hjTpYAGj,2024.02.20,?,TiltingBerserker,waltalgg,0-1
HyperBullet,https://lichess.org/fGqt3JfV,2024.02.20,?,emreguel,waltalgg,1/2-1/2
HyperBullet,https://lichess.org/1erq7zKl,2024.02.20,?,waltalgg,Hdwivedi,1-0
HyperBullet,https://lichess.org/20HR5dPT,2024.02.20,?,amarinaro,waltalgg,1-0
HyperBullet,https://lichess.org/Z3gT4l2e,2024.02.20,?,waltalgg,amine_chess,1-0
Daily HyperBullet Arena,https://lichess.org/ulXuIif5,2024.02.20,?,waltalgg,PlessisFrance,1-0
Daily HyperBullet Arena,https://lichess.org/btY4q8eV,2024.02.20,?,D1visionByZer0,waltalgg,1-0
Daily HyperBullet Arena,https://lichess.org/WpbS6GZ6,2024.02.20,?,JSCoderChess,waltalgg,1-0
Daily HyperBullet Arena,https://lichess.org/QLCBrnXt,2024.02.20,?,waltalgg,joKer_1247,0-1
Daily HyperBullet Arena,https://lichess.org/kKvdDVIZ,2024.02.20,?,Lurial,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/GNu6wNwa,2024.02.20,?,waltalgg,carlos_magnussonn,1-0
Daily HyperBullet Arena,https://lichess.org/VZhfKNDZ,2024.02.20,?,lazzaretti,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/RhU1JzYD,2024.02.20,?,waltalgg,gmyasona,0-1
Daily HyperBullet Arena,https://lichess.org/vBQFNmKI,2024.02.20,?,waltalgg,Bukmeker373,0-1
Daily HyperBullet Arena,https://lichess.org/qjlvNidj,2024.02.20,?,Sts9_13,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/mIvfm1ET,2024.02.20,?,waltalgg,Le-Snipper,1-0
Daily HyperBullet Arena,https://lichess.org/YW1xYnf0,2024.02.20,?,nani50,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/MtqvcKqm,2024.02.20,?,waltalgg,kakon3,0-1
Daily HyperBullet Arena,https://lichess.org/AGAsk7ff,2024.02.20,?,Moonlight_Kokuryu,waltalgg,1-0
Daily HyperBullet Arena,https://lichess.org/GKm7LYDY,2024.02.20,?,waltalgg,POKKOVSHIK,1-0
Daily HyperBullet Arena,https://lichess.org/KWdLOgyr,2024.02.20,?,dijjahval_13,waltalgg,0-1
Daily HyperBullet Arena,https://lichess.org/4UQ0jIL2,2024.02.20,?,waltalgg,Bibirevo81,1-0
Daily HyperBullet Arena,https://lichess.org/zsfZGwYQ,2024.02.20,?,seriani,waltalgg,0-1
